"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Yoshi Odontologia | Implante Dentário | Faceta Dentária | Invisalign - Curitiba, Paraná","5","344","R. Brig. Franco, 441","Curitiba","Paraná","BR","http://yoshiodontologia.com.br/","+55 41 98771-9197","Clínica odontológica","Dentista","Endodontista","Cirurgião dentista","Ortodontista","Periodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Yoshi%20Odontologia%20%7C%20Implante%20Dent%C3%A1rio%20%7C%20Faceta%20Dent%C3%A1ria%20%7C%20Invisalign%20-%20Curitiba%2C%20Paran%C3%A1&query_place_id=ChIJvVE8iffj3JQRbTfqMrll9FA","Clínica odontológica"
"Pedroso Odontologia","5","41","R. Saturnino Miranda, 900 - Loja 20","Curitiba","Paraná","BR","https://clinicapedroso.com.br/","+55 41 98888-7688","Clínica odontológica","Dentista","Cirurgião dentista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pedroso%20Odontologia&query_place_id=ChIJVVUKTk3g3JQRlVuB-zL5Ino","Clínica odontológica"
"Manfron Odontologia","4.9","201","Av. Manoel Ribas, 7651 - Loja 03","Curitiba","Paraná","BR","https://www.manfronodontologia.com.br/","+55 41 99185-6166","Clínica odontológica","Clínica de implante dentário","Cirurgião oral e maxilofacial","Cirurgião dentista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Manfron%20Odontologia&query_place_id=ChIJGV7vEbXh3JQRmAkYQ_wkJvU","Clínica odontológica"
"Odontologia Dr Vinicius Brandão/ Dra Karina Wambier","4.9","31","Rua Domingos Dalla Bona, 30","Curitiba","Paraná","BR","https://www.instagram.com/dr_vinicius_dra_karina/","+55 41 99533-8640","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20Dr%20Vinicius%20Brand%C3%A3o%2F%20Dra%20Karina%20Wambier&query_place_id=ChIJWdoIRUXh3JQRTyOz6MqcEk0","Dentista"
"Clínica Bloom Odontologia | by Kubitski","5","191","R. Julia Wanderley, 1204","Curitiba","Paraná","BR","https://bloomodonto.com.br/","+55 41 99987-0230","Clínica odontológica","Esteticista","Loja de produtos odontológicos","Dentista","Cirurgião dentista",,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Bloom%20Odontologia%20%7C%20by%20Kubitski&query_place_id=ChIJwcUMhhTj3JQRuio6Av0gPKQ","Clínica odontológica"
"Stremel Odontologia","5","31","R. Gerônimo Muraro, 102","Curitiba","Paraná","BR","https://www.instagram.com/dr.gabrielschlotagstremel?igsh=bHVvNzY5c2M4dDFo","+55 41 99655-4545","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stremel%20Odontologia&query_place_id=ChIJVYplGE7h3JQR9I7xPLuA1po","Clínica odontológica"
"Costacurta Odontologia","4.9","430","Rua Desembargador Isaías Bevilaqua, 708","Curitiba","Paraná","BR","https://www.instagram.com/costacurta_odontologia/","+55 41 99512-0077","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Costacurta%20Odontologia&query_place_id=ChIJ-aEr9fnj3JQRPFYWX-Ae_cA","Dentista"
"Nova Odontologia São Braz","4.9","68","Av. Ver. Toaldo Túlio, 2145","Curitiba","Paraná","BR","https://novaodontologiasaobraz.com.br/","+55 41 3527-2007","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nova%20Odontologia%20S%C3%A3o%20Braz&query_place_id=ChIJfV49WyPh3JQR7yC8SAYflXc","Clínica odontológica"
"Rc Odontologia Integrada","4.9","110","Av. Ver. Toaldo Túlio, 2660 - Lojas 01 e 02","Curitiba","Paraná","BR","http://www.rcodontologiaintegrada.com.br/","+55 41 99806-9893","Dentista","Clínica odontológica","Periodontia e implantes dentários","Centro de cuidados com dentaduras","Endodontista","Cirurgião dentista","Ortodontista","Odontopediatra",,,"https://www.google.com/maps/search/?api=1&query=Rc%20Odontologia%20Integrada&query_place_id=ChIJL9BT7MPh3JQRr94xDtCsRcU","Dentista"
"Clínica Physalis","4.7","628","Alameda Princesa Izabel, 964","Curitiba","Paraná","BR","http://www.clinicaphysalis.com.br/","+55 41 3779-9077","Clínica odontológica","Periodontia e implantes dentários","Centro de diagnóstico médico por imagem","Clínica da saúde da mulher","Clínica especializada",,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Physalis&query_place_id=ChIJUdccLfTj3JQRBSq8S0NdtBs","Clínica odontológica"
"CEOC - Centro de Excelência em Odontologia Costa","4.7","35","Estacionamento - Rua Marcelino Champagnat, 185, Travessa Amando Mann, 320","Curitiba","PR","BR","http://ceocodontologia.com.br/","+55 41 98735-8829","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CEOC%20-%20Centro%20de%20Excel%C3%AAncia%20em%20Odontologia%20Costa&query_place_id=ChIJyRJmhnvj3JQRSeI73HVnOy8","Clínica odontológica"
